id,sentence
19,"Leveraged borrowing by hedge funds in gilt repo markets remains elevated, reaching close to £100 billion in November."
20,Funds could need to deleverage simultaneously in response to a shock if funding conditions tightened to the extent that refinancing became unavailable or prohibitively expensive.
21,"In response to the Chancellor’s request in the FPC’s November 2024 remit letter, the FPC has assessed and identified areas where the financial sector could contribute further to supporting sustainable growth through higher productivity growth, investment and innovation (Box A)."
22,"In the long term, GDP growth is driven by changes to an economy’s supply capacity, which is determined by the amount of labour and capital available, and the efficiency with which these factors can be combined – known as total factor productivity."
23,Weighted average excludes Canada for 1997 due to unavailable 1996 data.
24,"In the 1990s, total factor productivity growth in most western economies was high, driven by the diffusion of information and communications technologies such as the internet, which have the characteristics of a General-Purpose Technology (GPT)."
25,"And Adler et al (2017) find that population ageing, slowing human capital accumulation, and lower global trade all contributed to this slowdown."
26,"Additional shocks, including the UK’s decision to leave the European Union, the Covid pandemic, and the significant rise in energy prices in 2022 following Russia’s invasion of Ukraine, have compounded these effects although recent data suggest that the productivity effects of the pandemic have dissipated and there is no longer a significant drag due to the energy price shock."
27,US productivity growth has increased since the pandemic.
28,"This could be driven by both demand for finance from businesses looking to invest in capital, as well as the supply of finance to those businesses."
29,The growth of market-based finance and increased competition within the banking sector have diversified the supply of productive finance to the real economy.
30,"Because the financial sector plays a role in driving UK productivity growth, actions to support financial stability in turn support economic growth."
31,Improvements to financial system resilience since the GFC have allowed it to continue to support UK households and businesses through periods of financial stress.
32,"For example, UK banks continued to lend to creditworthy households and businesses during recent shocks such as the Covid pandemic, the significant rise in energy prices in 2022 following Russia’s invasion of Ukraine, and episodes of market volatility."
33,The FPC regularly reviews its policy measures; recent examples include reducing the frequency of its main Bank Capital Stress Tests to every other year and recommending the PRA and the FCA amend implementation of the FPC’s loan to income (LTI) flow limit to allow individual lenders to increase their share of lending at high LTIs while aiming to ensure the aggregate flow remains consistent with the limit of 15%.
34,"This weighs the macroeconomic costs of capital (which stem from the impact of higher capital pushing up on borrowing costs) against the benefits of capital, which come about because higher bank capital reduces the likelihood and costs of financial crises."
35,"To meet the challenges of the future, the UK economy will require a flow of long-term capital to fund investments which improve the infrastructure that supports the economy, fund the development and deployment of new technologies that will drive productivity growth and support the transition to Net Zero."
36,"Traditional bank lending is less well-suited to HGFs because, although HGFs are either growing rapidly or have the potential to grow rapidly, they typically have a limited trading history, are not yet consistently profitable, or have low levels of collateral."
37,"The Bank and FCA have also set up the Digital Securities Sandbox (DSS), which provides a regulated environment to encourage innovation in financial market infrastructure."
38,The FPC has identified the following impediments to the investment of long-term capital by pension funds and insurers: 1. UK DC pension schemes are smaller in scale and allocate less to riskier assets than international peers.
39,"Potential solutions include scaling up DC pension funds, enabling them to enhance their sophistication and reduce unit costs, thereby improving outcomes for members."
40,DC pension products could also be expanded to offer a wider range of products without daily liquidity which can support longer-term investments.
41,"The FPC supports the changes made by the PRA to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the Matching Adjustment (MA) regime and its work to deliver a Matching Adjustment Investment Accelerator (MAIA)."
42,Members of the Association of British Insurers committed to using the Solvency UK reforms to invest at least £100 billion in UK productive assets over the next decade.
43,"The FPC notes the progress made by signatories of the Mansion House Compact, with the proportion of investments in unlisted equities growing from 0.36% in 2024 to 0.6% in 2025."
44,"The Committee also notes the Mansion House Accord, in which 17 of the largest UK workplace pension providers have pledged to invest at least 10% of their DC default funds in private markets by 2030, with 5% of the total allocated to the UK."
45,"The FPC notes the new British Business Bank (BBB) objective, announced in the Autumn Budget 2025, to mobilise institutional capital at scale and the projected participation of domestic pension funds in the initial £200 million funding round for the BBB’s British Growth Partnership Fund."
46,The FPC has identified the following impediments to the supply of debt or equity finance to HGFs: 1. HGFs find it progressively more difficult to raise funds – especially from domestic sources – as funding rounds get larger due to a shortage of patient capital (Chart C).
47,"BBB research finds that the UK has an investment gap relative to the US, with UK VC investment representing 0.7% of GDP, 10% less than in the US over 2022–24. 2."
48,"Banks face significant challenges in developing lending collateralised by IP, primarily due to the difficulty of valuing intangible assets, the lack of standardised frameworks for assessing IP risk, and limited secondary markets for recovery in case of default."
49,"The solutions to mobilising domestic long-term capital set out above could benefit HGFs, as could solutions to reduce funding complexity – such as a ‘one-stop-shop’ for funding information for HGFs."
50,In this context the FPC notes the expanded financial capacity of the BBB this year and the announcement that the BBB will launch ‘Venture Link’.
51,Elevated geopolitical tensions and continued advances in technology have increased the potential for operational incidents to disrupt the provision of vital services (Section 7).
52,"The FPC supports: The changes made by the PRA to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the MA regime and its introduction of a MAIA."
53,"Box B: Evolution of lending in the UK economy This box describes the evolution of the supply of credit to UK households and non- financial corporates, including small and medium-sized enterprises (SMEs), following the financial market liberalisation reforms in 1986."
54,"UK bank lending in the 1980s and early 1990s grew rapidly as deregulation led to an expansion beyond traditional business lending, which increased the banking sector’s size but created vulnerabilities."
55,The 1980s and early 1990s marked a structural shift in the UK banking sector driven by deregulation and increased competition.
56,"The removal of credit controls, exchange restrictions, and reforms such as the abolition of the ‘corset’ in 1980, enabled banks to expand beyond business lending into mortgage finance and investment banking.[4] Banks’ share of mortgage lending increased as a result."
57,Rapid credit growth and loosening of underwriting standards during this period increased vulnerabilities that resulted in the early 1990s small banks’ crisis.
58,"In aggregate, household and non-financial corporate debt doubled relative to GDP during the 1980s."
59,Between 1985 and 1989 residential property prices increased by nearly 80% and commercial real estate (CRE) prices by almost 90%.
60,"The early 1990s recession led to many repossessions, business failures – especially among SMEs – and high impairment rates on banks’ lending."
61,"The aftermath of the recession saw a reduction in the reliance of SMEs on bank financing, with the proportion of small businesses seeking external finance falling from 65% between 1987–90, to around 40% between 1995–97."
62,"Household debt was stable throughout much of the 1990s between 60%–65% of GDP, reflecting the subdued housing market that followed the 1990s recession as rates rose and house prices fell (Chart A)."
63,Household and corporate borrowing accelerated in the lead-up to the 2008–09 global financial crisis (GFC) resulting in over-leveraged bank and private sector balance sheets.
64,"Household debt-to-GDP grew by around 40 percentage points from the late 1990’s to 2008 and peaked at over 100% of GDP, mirroring rapid house price growth partly driven by increased competition among mortgage lenders (Chart A)."
65,"Corporate debt-to-GDP rose by less, from around 40% of GDP in 2003 to around 50% by end-2008 though the stock of CRE lending to GDP almost doubled between 2003 and early 2009."
66,"Chart A: Household and corporate indebtedness has fluctuated due to changes in financial and macroeconomic conditions Total household debt excluding student loans, corporate debt excluding CRE, and CRE debt (a) (b) Sources: Association of British Insurers, Bank of England, Bayes CRE Lending Report (Bayes Business School (formerly Cass)), Deloitte, Finance & Leasing Association, firm public disclosures, Integer Advisors estimates, LCD an offering of Pitchbook, London Stock Exchange, LSEG Eikon, ONS, Peer-to-Peer Finance Association and Bank calculations."
67,"Macroprudential policies, which strengthened the resilience and reduced excessive risk-taking across the financial system, were introduced after the GFC to reduce this procyclical behaviour."
68,Household credit growth slowed after the GFC as banks tightened lending standards and focused on repairing their balance sheets.
69,"The flat total household debt stock meant it declined relative to GDP, falling to below 90% in 2014."
70,"Corporates deleveraged with non- CRE and CRE debt-to-GDP bottoming out in 2014 and 2015 respectively, around their 2004 levels (Chart A)."
71,A shift in the provision of corporate finance occurred during this time as the share of market-based debt rose from a pre-GFC average of 43% (2003–07) to over 55% by 2015 (Chart B).
72,"This signalled a structural shift in corporate financing that has moved the UK closer to the US, although non-banks still supply relatively less corporate debt to UK firms than their US peers."
73,"Following the implementation of post-crisis regulation and policies to increase banking sector competition, bank lending and the stock of household and corporate credit rose between 2014 and 2020."
74,"This followed the implementation of post-crisis regulatory reforms, including higher capital and liquidity requirements that strengthened and increased confidence in the banking system."
75,Government and regulatory policies designed to increase banking sector competition also increased the number of providers of finance available to household and corporate borrowers.
76,"The stock of credit to households and corporates increased by over 20% from 2014 to end- 2019, from around £2.45 trillion to over £3 trillion."
77,"The rise in debt was broadly in line with economic growth in nominal terms, which had slowed from a pre-GFC average four-quarter growth rate of 5% to below 4% between 2014 and end-2019."
78,"Therefore, the aggregate household and corporate debt-to-GDP ratio was broadly stable over the period, although this masked a slight increase in the corporate debt-to-GDP ratio offset by a slight decline in the household debt ratio."
79,"The economy was hit by a series of shocks starting in 2020 that ultimately resulted in high inflation driving a marked reduction in household and corporate debt-to- GDP ratios, while post-GFC regulation has enabled the banking system to weather shocks while supporting the economy."
80,"The stock of corporate debt rose by 6% over 2020 H1 as many businesses, especially SMEs, faced severe cash flow issues due to lockdowns and reduced consumer demand."
81,"This led to a surge in demand for emergency finance, including government-backed loans."
82,"This, combined with a roughly 16% contraction in nominal GDP during lockdown, resulted in large increase in household and corporate debt-to-GDP ratios."
83,This reversed as the economy reopened following the Covid pandemic.
84,"Following this, a series of energy and supply shocks that increased inflation and nominal GDP resulted in a large reduction in debt-to-GDP ratios."
85,"The overlapping effects of these shocks, which resulted in interest rates increases, have created a prolonged period of uncertainty, making businesses more cautious about borrowing for expansion."
86,"While corporate and household debt increased over this period, by over £100 billion and £200 billion respectively between 2020 H1 and now, this increase was far lower than the near £800 billion increase in nominal GDP over this period."
87,The reduction in indebtedness of households and corporates relative to their income has led to an increase in resilience to future shocks (Section 3).
88,"Post-GFC regulation that increased bank resilience and the FPC’s use of the countercyclical capital buffer in stress, has enabled the banking sector to continue to support households and businesses through recent shocks."
89,"In aggregate, bank lending remains a dominant source of direct lending to households and corporates, although large corporates in particular diversified in the years following the GFC."
90,"Large corporates in particular led the diversification of corporate funding after the GFC, although the share of non-bank provided credit has then remained broadly steady over the past decade at over 55% (Chart B)."
91,The increased diversification of UK corporate finance has been further increased by international banks and by the emergence of challenger banks.
92,The former have increased their share of bank lending to UK corporates from 17% in the years before the GFC to 27% today.
93,Challenger banks have also increased their share of corporate lending.
94,"Chart B: UK corporate debt provision diversified after the GFC Share of the stock of lending to UK non-financial corporates from banks and non-banks Source: Refer to the sources for Chart A. Borrowing by SMEs has fallen as a share of GDP since the GFC reflecting both supply and demand effects, and historical access to credit challenges."
95,"The stock of SME debt as a share of UK GDP has fallen over the past 15 years, from 13% in 2011 Q4 to 8% in 2024 Q4 (Chart C) despite the growth of challenger banks."
96,"For example, Bank of England survey evidence suggests that many SMEs do not intend to expand their business and so do not need external finance for growth, and around 70% would prefer slower growth over taking on debt."
97,"The high cost, relative to lending to larger corporates, can be mostly attributed to higher impairments (through higher probability of default) and operational costs of SME lending (eg small loan size, and high screening costs due to information asymmetries)."
98,"The PRA is also currently working with HM Treasury to explore how the ring-fencing regime could be further reformed to allow ring-fenced banks to support SME scale-ups, with a report due to be published in early 2026."
99,2: Developments in global vulnerabilities and financial markets 2.1: Developments in the global risk environment and financial markets Risks to financial stability have increased during 2025.
100,"Analysis in the November 2025 Monetary Policy Report found that tariffs were having a relatively limited effect on global growth to date, but it is too early to judge whether this reflects diminished or merely delayed effects of trade policy changes."
101,"Some risky asset prices across advanced economy corporate bond and equity markets have increased since the July FSR, and risk premia across many risky asset classes remain compressed by historical levels, although have widened somewhat relative to the FPC’s October meeting."
102,On a three year forward basis – ie accounting for projected earnings growth over the next three years – excess earnings yield over inflation-protected government bonds in the US is also close to levels not seen since the dot-com bubble.
103,"The equity prices of some large US technology companies focused on AI have continued to increase since the July FSR, although have fallen in recent weeks."
104,"The size of these companies has increased concentration in the S&P 500 index to historical highs, with the ‘Magnificent 7’ accounting for over a third of the index.[5] Chart 2.2: Valuations for a range of risky assets remain at historically stretched levels Current levels of selected risk premia as a percentile of their historical distribution, compared to levels at the July 2025 FSR and October 2025 FPC meeting (a) Sources: Bloomberg Finance L.P., Datastream from LSEG, ICE BofAML, PitchBook Data, Inc. and Bank calculations."
105,"By some industry estimates, AI infrastructure spending over the next five years could exceed $5 trillion US dollars."
106,"The spread between yields on both investment grade (IG) and riskier corporate borrowing (high- yield bonds and leveraged loans) and yields on safer debt (eg government bonds) have widened marginally since the FPC’s October 2025 meeting across jurisdictions, partly as a response to some high-profile US corporate defaults."
107,"Corporates, especially highly leveraged corporates, continue to face challenges as they refinance existing fixed-term debt at higher rates following increases in interest rates over recent years (Section 3)."
108,"However, tight credit spreads have offset this in part and encouraged higher levels of corporate issuance."
109,"The imposition of tariffs could potentially lead to lower profits for firms through higher costs on imported goods and lower earnings – through either lower global demand, or in response to higher prices if firms pass the cost of tariffs onto consumers."
110,"In response to two recent high-profile corporate defaults in the US, credit spreads widened slightly but have not materially repriced, suggesting market participants primarily see them as driven by company specific-challenges."
111,"Notably, the opacity and complex corporate structures in these two entities may have been a contributing factor that allowed significant alleged fraud to be undetected for a period."
112,90+ day arrear rates on different forms of US consumer credit have increased markedly over the past three years (Chart 2.3).
113,Chart 2.3: 90+ day arrear rates on different forms of consumer credit in the US have increased Proportion of balances at least 90+ days in arrears on different forms of US consumer credit (a) Sources: Equifax and Federal Reserve Bank of New York.
114,"(a) Arrears on student loan debt increased significantly in the first half of 2025, reflecting the resumption of student loan repayments and reporting of delinquent loans to credit bureaus."
115,The arrears rate on auto loans by subprime borrowers that have been securitised in asset- backed securities (ABS) has increased sharply over the past few years (Chart 2.4).
116,"US businesses are facing cost pressures due to the imposition of tariffs, especially in exposed sectors."
117,"Default rates on speculative grade debt (leveraged loans and high-yield bonds) in the US have increased and are above pre-Covid levels, but have been broadly stable over the past two years (Chart 2.5)."
118,Chart 2.5: Defaults among riskier corporates have increased in the US 12-month average default rate on speculative grade (high-yield bonds and leveraged loans) borrowing in the US and EU Source: Moody’s Ratings.
119,"If this triggered a wider reassessment of credit quality by global markets, this could lead to higher borrowing costs for UK households and businesses, and lower liquidity in UK corporate bond and leveraged loan markets."
120,"If the defaults of First Brands and Tricolor prompted a wider reassessment of credit risk in the US, then this could spillover to the UK and harm the availability and pricing of credit for the UK real economy, with higher spreads and a tightening of credit conditions for lower quality credit in particular."
121,"The IMF’s broader measure of China’s government debt which captures some off-balance sheet debt, such as that held by local governments and associated with their funding vehicles, is forecast to rise to 153% of GDP by 2030."
122,"Support for local government finances was announced last November, which brings some local government debts onto balance sheets and reduces financing costs, but local government fiscal pressures remain elevated amidst weak revenue growth."
123,"In mainland China the pace of the decline in house prices has increased in recent months, following a stimulus-driven moderation at the start of the year."
124,"Yields on developed market long-term government bonds have risen over recent years reflecting interest rate increases and higher term-premia, as concerns about the sustainability of fiscal deficits globally remain in focus."
125,"UK 10-year government bond yields initially rose, reaching 4.71% at the time of the FPC’s October meeting, before subsequently declining to 4.54%, close to their July level."
126,This fall reflects both reduced term premia and expectations for interest rates.
127,Chart 2.7: Long-term (10-year) government bond yields have risen over recent years reflecting interest rate increases and higher term-premia.
128,These include: increased market volatility and possible interactions with vulnerabilities in MBF; the reduced ability of governments to respond to future shocks; higher interest rates leading to tighter global financial conditions; and the potential for capital outflows from non-resident investors.
129,"Historically, pension funds have been large buyers of longer-term government bonds, but have played less of a role in recent years as higher interest rates improve their funding ratios, and an ageing population may encourage funds to shift toward shorter-term assets to ensure liquidity for paying current benefits."
130,"In normal times, hedge funds serve a useful function by warehousing risk and intermediating between different types of market participants, thereby improving market liquidity and price discovery, but their use of leverage introduces risk."
131,"The progress in AI systems and the development of physical infrastructure to train, use and power them has resulted in a wide range of companies across multiple sectors – from technology to utilities and capital goods (referred to as ‘AI companies’ in this box) – being at least partly dependent on AI progress for their current and expected future earnings."
132,"The share prices of many AI companies are partly underpinned by high expected future earnings growth over several years, contributing to those companies – and subsequently the equity indices which they comprise a significant part of – appearing historically expensive in valuation metrics which consider past, current or only near-term future earnings (Chart A)."
133,The US excess cyclically-adjusted price-to-earnings (CAPE) yield – a measure of equity risk premia (ERP) which considers past earnings – is close to its lowest level since the dot-com bubble.
134,The 75 investment grade (IG) corporate issuers that JP Morgan Research estimate are most closely tied to the AI revolution already account for 14.5% of the JULI IG corporate bond index (up from 11.5% in 2020) – a higher share than the largest current sector (US banks).
135,"However, the second half of 2025 has seen the issuance of a large volume of corporate debt by some AI companies, a proportion of which has been raised through project-finance style off-balance sheet vehicles (eg $27.3 billion of bonds issued by the holding company Beignet Investor LLC to fund Meta’s Hyperion Data Centre in Louisiana)."
136,"For example, the five-year credit default swap spreads of Oracle – an AI company which has lower free cash flow margins than some other larger hyperscalers and has issued a large amount of debt this year to finance AI infrastructure spending – has widened from less than 40 basis points to around 120 basis points since end-July (by contrast, the credit default swap spreads of US IG corporates more broadly – as proxied by the CDX North American IG five-year index – are broadly unchanged over the same period)."
137,"Using Pitchbook data, Bank staff also estimate that new general lending to AI companies across the leveraged-finance and private market debt universe (comprising term loans, credit facilities and a limited share of bond issuance) increased by a factor of three between 2023 and 2024 and then again further in 2025 to almost $100 billion year-to-date."
138,"As a result, tracing the final location of credit risk is challenging, complicating assessments of who ultimately bears losses if conditions deteriorate."
139,The buildout of AI infrastructure to train and use AI systems is by some estimates expected to require more than five trillion US dollars of investment over the next five years and a significant but uncertain share of this is likely to be financed by debt.
140,AI use (commonly referred to as ‘inference’) is expected to increase from 30% to 70% of AI data centre capacity by 2029.
141,"While hyperscalers are expected to continue to leverage their operating cash flows for a large share of this investment, $1.5 trillion is expected to be met by external capital from a wide range of sources across (mostly) debt and equity, including $800 billion from private credit."
142,"However, the collapse of Archegos Capital Management in March 2021, after failing to meet margin calls on their equity total return swap positions, demonstrated how leveraged equity positions can result in risks to systemic financial institutions through prime brokerage exposures when prices fall."
143,Chart B: The notional outstanding value of equity-linked forwards and swaps have increased quickly in recent years.
144,"On top of the contribution of AI investment to US GDP growth, Bank staff estimate that increases in US equity prices have contributed to around 10% of the increase in US real consumption since the start of 2024, with AI-related equities the main driver during this period."
145,"The role of equities as a share of US household wealth has increased from 20% to 34% since the global financial crisis, and equity holdings have also increased relative to incomes in that time, although a large portion of this increase is driven by higher wealth households with a lower marginal propensity to consume."
146,The direct wealth effects on consumer spending in the UK of an AI-driven fall in equity prices are likely to be comparatively lower than the US due to the significantly smaller role of direct equity holdings as a share of household wealth.
147,"Additionally, weaker US demand could lead to lower US incomes and earnings, putting pressure on the debt servicing burdens of US households and businesses and consequently increasing the defaults and losses on the US exposures of UK lenders."
148,"While at present the degree of impact on credit markets of a re-evaluation of future AI company earnings would likely be modest, if debt issuance increased significantly, the direct impact would become larger."
149,"Very large shocks to commodity prices can have spillover consequences for systemic institutions, as seen in 2022 when large margin calls in LME Nickel futures markets following unprecedented increases in prices forced a suspension of trading by the central counterparty (CCP) LME Clear."
150,"If access to power – for example due to delays connecting new AI data centres to the electricity grid – acts as a bottleneck to the operation of AI data centre projects, it can also weigh on their credit risk and be a trigger for re-evaluating future AI company/project earnings."
151,"And highly indebted households and businesses may cut back sharply on consumption, investment, or employment to make debt repayments, worsening economic downturns."
152,"The UK labour market has softened, and UK unemployment has reached 5%, where it was expected to peak in 2025 Q4 – before gradually falling back to 4.7% by 2028 Q4."
153,"At the time of the November MPR, market pricing implied that Bank Rate was expected to be around 3.5% in a year’s time, slightly lower than expected in July."
154,"In line with the latest developments in monetary policy and a competitive mortgage market, quoted mortgage rates have continued to decrease."
155,"And continuing the trend from July, the growth in mortgage market lending has risen to 3.2% year on year, above the post-global financial crisis (GFC) average of 2.2%."
156,"Effective rates on new bank lending to corporates have also decreased, with rates for private non- financial corporates declining 14 basis points from August to September."
157,"The aggregate debt to income ratio remained low at 132% in 2025 Q2, having fallen to its lowest level since 2002."
158,"It assumes both a cumulative 5% fall in disposable (post-tax) household incomes by the end of 2027 – a little larger than in the GFC – as well as a 300 basis points increase in mortgage spreads, which passes through to mortgage borrowers with a lag."
159,Aggregate consumer credit DSRs remain low at around half pre-GFC levels and the share of consumer credit in arrears has remained relatively stable at 1.2% in 2025 Q3.
160,"Consistent with this, the rate of mortgage arrears, which was 0.9% in 2025 Q3, is expected to remain well below its early 1990s and post-GFC peaks."
161,"The number of homes repossessed by banks increased this year, reaching around 6,100 homes by the end of 2025 Q3 compared to 4,200 at the end of 2024 Q3, although repossession rates remain very low by historical standards at 0.06% of all loans."
162,Evidence from the NMG survey finds that the gap in median savings to income between outright owners and renters has widened over 2025.
163,"Around 35% of households are renters, so sharp spending cuts or defaults on their financial obligations in the event of economic shocks can pose financial stability risks."
164,Borrowing costs have decreased following recent reductions in Bank Rate.
165,"A third of mortgage accounts (three million households) are expected to see payments decrease in the next three years, similar to expectations at the time of the July FSR."
166,"However, some households are expected to see an increase in mortgage repayments, as the full impact of higher interest rates has not yet passed through to all mortgagors."
167,"In total, over the next three years, 43% of mortgage accounts (3.9 million) are expected to refinance onto higher rates."
168,"On balance, for the typical owner-occupier mortgagor rolling off a fixed rate in the next two years, their monthly mortgage repayments are projected to increase by £64 (8%), with some households facing much larger increases."
169,The FPC has set out a recommendation for a 15% aggregate flow limit on new UK mortgage lending to borrowers with high LTI ratios (at or greater than 4.5).
170,This measure provides insurance against a marked and unsustainable loosening in underwriting standards and a further significant increase in the number of very highly indebted households.
171,This amendment allows individual lenders to increase their share of lending at high LTI ratios while aiming to ensure the aggregate flow remains consistent with the limit of 15%.
172,"Consistent with the FPC’s update, the PRA has provided an interim modification by consent that allows approved lenders to disapply the 15% LTI flow limit in PRA rules with immediate effect."
173,This adjustment in requirements allows individual lenders more flexibility to go above the 15% limit in line with their own risk frameworks and subject to the aggregate level across all lenders remaining consistent with the 15% limit.
174,"However, several major lenders have already changed their behaviour in response to the MCOB statement, in part driving a fall in median stress rates on Q3 completions of around 100 basis points since Q1."
175,"And net mortgage approvals hit a nine-month high in September, returning to the pre-Covid average (Section 4)."
176,"The share of high LTI lending increased to 9.5% in Q3, in line with Q1 and up from 7.6% in Q2, which was depressed by the end of the stamp duty land tax holiday."
177,"This leaves the four-quarter rolling average at 8.7%, well below the 15% limit (Chart 3.2)."
178,Chart 3.2: High LTI lending increased in 2025 Q3
179,"While looser credit conditions allow additional borrowers to enter the market in the near term, staff analysis suggests that, unless there is also an increase in housing supply, increased credit availability has limited ability directly to address barriers to home ownership."
180,The corporate net debt to earnings ratio ticked up slightly in 2025 Q2 as net debt increased and profits fell slightly.
181,"At 134%, the aggregate ratio remains well below Covid (166%) and post-GFC (230%) highs, reducing the risk that indebted corporates would materially amplify a shock relative to the past."
182,Chart 3.3: Measures of corporate vulnerability would remain low even if earnings fell substantially and funding costs increased Debt-weighted share of UK corporates with ICRs below 2.5 and share of UK corporates at higher risk of default and staff projections (a) (b) (c) (d) (e) Sources: Moody’s: Bureau van Dijk and Bank calculations.
183,The stressed projection assumes a 10% fall in earnings and a range of 300 to 500 basis points increase in corporate lending spreads.
184,"Consistent with the low share of vulnerable corporates, monthly insolvency rates were at a low level at around 53 per 10,000 firms in the 12 months to September 2025, well below their long-term average level of around 70 per 10,000 firms, and lower than the rate recorded in September 2024."
185,"However, there has been an uptick in insolvencies for medium-sized corporates, although most insolvencies are still driven by small firms with limited debt and employment."
186,SME arrears for non-government guaranteed debt have been gradually rising over the past couple of years and increased in August by 0.2 percentage points to 1.5%.
187,"The share of SMEs in arrears is highest in the accommodation and food, construction, and retail trade sectors, which are more exposed to increased input costs and increased labour market costs associated with a higher minimum wage and the increase in employer’s national insurance contributions (NICs)."
188,"However, SME lending has limited implications for banking system losses in aggregate because their bank exposures are relatively small, and a portion of this lending is government guaranteed."
189,"Some highly leveraged corporate borrowers relying on market-based finance areparticularly exposed to tighter financing conditions, which could be triggered by global shocks."
190,"UK corporates borrowing via market-based finance, such as leveraged loans, high-yield bonds and private credit, might face refinancing challenges due to higher interest rates and greater borrowing levels."
191,"While interest rates remain high, cuts in Bank Rate will have benefitted corporates on floating interest rates (eg variable-rate bank loans) that decreased in line with Bank Rate."
192,"Corporate bonds, which comprise a large part of total market-based financing in the UK, are fixed for 10 years on average, meaning issuers are likely to face interest rate increases as they refinance."
193,"However, most publicly issued bonds are investment grade, and their issuers are likely to be more resilient to higher rates because of low leverage, stronger balance sheets and more choice over sources of finance."
194,"In Q3, around a quarter of outstanding leveraged loan debt was due to mature by the end of next year, and over half was due to mature by end-2028, slightly less than the shares in 2024 Q3."
195,"Private credit shows similar dynamics, with around 20% due by next year and 42% by end-2028."
196,The steeper refinancing walls increase the exposure of these corporates to higher interest rates and deteriorations in investor risk sentiment.
197,"Credit spreads across a range of markets widened marginally in November compared to the previous month, partly as a response to the recent high-profile US corporate defaults, but they remain very low by historical standards (Section 2)."
198,"This has reduced corporate borrowing costs, encouraging higher levels of corporate issuance and easing refinancing burdens."
199,"Because firms using riskier forms of market-based finance comprise at least 12% of UK employment, stress in these markets could pose some borrower and lender resilience challenges."
200,"Considered over a longer time horizon, the aggregate CET1 capital ratio has been broadly stable since the completion of the phase-in of the post-global financial crisis (GFC) bank capital framework in 2019."
201,"Following its first assessment in 2015, and a subsequent update in 2019, the FPC has updated its assessment of the appropriate level of bank capital requirements, which is covered in detail in Box D and the Financial Stability in Focus."
202,Asset quality Loans for which there has been a significant increase in credit risk since 9.4% (Q3) 9.6% (Q1) origination (IFRS 9 ‘Stage 2’)
203,(a) The major UK bank peer group includes the following banks:
204,"Several banks upgraded their earnings guidance for 2025 in Q3, and there was a broad-based upgrade to consensus estimates following Q3 earnings."
205,"Major UK banks continued to return capital to shareholders through buybacks and dividends, totalling £8.6 billion in Q3."
206,"Major UK banks’ asset quality remained strong in Q3, with little change in aggregate relative to the July FSR (Table 4.A), despite some banks increasing impairments on specific portfolios."
207,"UK bank valuations are near post-GFC highs, supported by a decline in their cost of equity and an increase in expected RoTE."
208,"UK banks’ average price to tangible book (PtTB) ratios have increased further above one since the July FSR, up from Covid-era lows of around 0.5.[8]"
209,Valuations of major UK banks have increased due to both an increase in expected aggregate RoTE and a decrease in their cost of equity in recent years.
