source_file,sentence_id,sentence
financial-stability-report-december-2025.pdf,51,"As part of ensuring the UK banking sector is both resilient and able to support growth, the FPC has reviewed its assessment of the appropriate level of bank capital requirements (published alongside this FSR, for further details refer to Financial Stability in Focus: The FPC’s assessment of bank capital requirements)."
financial-stability-report-december-2025.pdf,52,"The Committee judges that the benchmark for system-wide Tier 1 capital requirements, previously judged to be around 14% of risk-weighted assets (RWAs), is now around 13% of RWAs."
financial-stability-report-december-2025.pdf,53,"That judgement is consistent with the evolution in the financial system since the FPC’s first assessment in 2015, including a fall in banks’ average risk weights, a reduction in the systemic importance of some banks and improvements in risk measurement."
financial-stability-report-december-2025.pdf,54,The FPC and sustainable growth Maintaining financial stability is essential to supporting sustainable economic growth over the long term.
financial-stability-report-december-2025.pdf,55,"A stable financial system supports lower risk and term premia, lowering the cost of borrowing and improving incentives to fund long-term productive investment."
financial-stability-report-december-2025.pdf,56,"In line with its remit, the FPC seeks to maintain financial stability by identifying, monitoring, and addressing systemic risks to the financial sector – including those set out in this Report – so that the financial system can support the UK economy in both good times and bad."
financial-stability-report-december-2025.pdf,57,"In response to the Chancellor’s request in the FPC’s November 2024 remit letter, the FPC has assessed and identified areas where the financial sector could contribute further to supporting sustainable growth through higher productivity growth, investment and innovation."
financial-stability-report-december-2025.pdf,58,"The financial sector plays a role in contributing to productivity growth by providing vital services to UK households and businesses, including the provision of financing for investment in capital and technology."
financial-stability-report-december-2025.pdf,59,"But there are a broader range of factors across the economy at play in driving productivity growth, such as trade conditions, scientific and technological innovation, and human capital."
financial-stability-report-december-2025.pdf,60,Lending to UK households and corporates has in the past fluctuated due to changes in financial and macroeconomic conditions.
financial-stability-report-december-2025.pdf,61,Incentives in the financial system led to unsustainable lending growth in boom times followed by periods of deleveraging during the resulting downturn.
financial-stability-report-december-2025.pdf,62,"However, post-GFC regulation has increased bank resilience."
financial-stability-report-december-2025.pdf,63,"Combined with the FPC’s use of the countercyclical capital buffer (CCyB) in stress, this has enabled the banking sector to continue to support households and businesses through recent shocks to the economy."
financial-stability-report-december-2025.pdf,64,"Lending to small and medium-sized enterprises (SMEs) has been weak since the GFC, reflecting both the small share of SMEs seeking credit and historical barriers these firms face in accessing finance."
financial-stability-report-december-2025.pdf,65,"These barriers are not unique to the UK, with SMEs across many economies facing similar challenges."
financial-stability-report-december-2025.pdf,66,"New lenders that have entered the market over the past decade are increasing their share of SME lending, particularly for SMEs which do not meet the appetite of larger lenders."
financial-stability-report-december-2025.pdf,67,For further detail refer to Box B of the FSR.
financial-stability-report-december-2025.pdf,68,The FPC has already taken steps to ensure that its resilience-building measures are implemented efficiently as the financial system evolves.
financial-stability-report-december-2025.pdf,69,Recent examples of this include reducing the frequency of its main Bank Capital Stress Tests to every other year and recommending an amendment to the implementation of its loan to income (LTI) flow limit to allow individual lenders to increase their share of lending at high LTIs.
financial-stability-report-december-2025.pdf,70,"The FPC has undertaken work to assess and identify areas where there is potential to increase the ability of the financial system to contribute to sustainable economic growth, and potential solutions to the impediments the sector might face in doing so (refer to Box A for more details)."
financial-stability-report-december-2025.pdf,71,These include barriers faced by pension funds and insurers in supporting long-term capital investment in the UK economy; challenges high-growth firms face in accessing domestic finance at larger funding rounds; and issues in the financial sector’s responsible adoption of innovative technology.
financial-stability-report-december-2025.pdf,72,"The FPC supports: The changes made by the Prudential Regulation Authority (PRA) to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the Matching Adjustment (MA) regime and its introduction of a Matching Adjustment Investment Accelerator (MAIA)."
financial-stability-report-december-2025.pdf,73,This should support delivery of the UK insurance industry’s commitment to invest £100 billion in UK productive assets over 10 years.
financial-stability-report-december-2025.pdf,74,"Work to ease impediments to high-growth firms accessing funding, including use of public- private partnership funding initiatives to channel financing to these firms and the broader population of SMEs to support productivity improvements, and supporting the working group on lending backed by intellectual property established as part of HM Government’s Industrial Strategy."
financial-stability-report-december-2025.pdf,75,"Efforts by authorities and industry to support the UK financial system’s adoption of innovative technology, including through the National Payments Vision, the Bank’s AI consortium and the Financial Conduct Authority’s (FCA’s) AI Lab’s Live Testing service."
financial-stability-report-december-2025.pdf,76,The FPC remains committed to identifying further ways in which it can deliver on its objectives to support sustainable economic growth.
financial-stability-report-december-2025.pdf,77,For further details refer to Section 1 and Box A of the FSR.
financial-stability-report-december-2025.pdf,78,UK households and corporates UK household and corporate aggregate indebtedness remains low.
financial-stability-report-december-2025.pdf,79,The share of households in arrears on their borrowing or with high debt-servicing burdens is low by historical standards.
financial-stability-report-december-2025.pdf,80,"However, some groups are more vulnerable to economic shocks than others, with renters remaining under pressure."
financial-stability-report-december-2025.pdf,81,"In line with easing monetary policy and a competitive mortgage market, quoted mortgage rates have continued to decrease."
financial-stability-report-december-2025.pdf,82,"And, continuing the trend from July, growth in mortgage lending has risen to 3.2% year on year, above the post-GFC historical average of 2.2%."
financial-stability-report-december-2025.pdf,83,Mortgage lenders have been adjusting their behaviour following the March 2025 clarification of the FCA’s Mortgage Conduct of Business (MCOB) rules and recent changes in the FPC’s recommendation on how to implement its LTI flow limit.
financial-stability-report-december-2025.pdf,84,"While it remains too early to assess the full impact of these policy changes in the mortgage market, recent indicators suggest a higher supply of credit to households with net mortgage approvals reaching a nine-month high."
financial-stability-report-december-2025.pdf,85,"The corporate net debt-to-earnings ratio, at 134%, remains well below Covid (166%) and post-GFC (230%) highs."
financial-stability-report-december-2025.pdf,86,"Nevertheless, potential shocks in global financial markets could increase the likelihood of corporate vulnerabilities crystallising, specifically for highly-leveraged corporates."
financial-stability-report-december-2025.pdf,87,"Credit spreads remain tight by historical standards, which means funding conditions for corporates are currently benign."
financial-stability-report-december-2025.pdf,88,"However, a sharp correction or crystallisation of global risks could constrain refinancing options for UK corporates."
financial-stability-report-december-2025.pdf,89,"In markets serving higher-risk borrowers, such as leveraged loans and private credit, a larger proportion of outstanding debt has shorter maturity and therefore requires refinancing over the next few years, leaving corporates in such funding markets more exposed to a tightening of credit conditions or a deterioration in investor risk sentiment."
financial-stability-report-december-2025.pdf,90,For further details refer to Section 3 of the FSR.
financial-stability-report-december-2025.pdf,91,UK banking sector resilience The UK banking system remains well capitalised.
financial-stability-report-december-2025.pdf,92,"Major UK banks continue to report robust earnings, and their average price-to-tangible book (PtTB) ratios have increased further above 1 since the July FSR."
financial-stability-report-december-2025.pdf,93,"The results of the 2025 Bank Capital Stress Test indicate that the UK banking system would be able to continue to support the economy even if economic conditions turn out materially worse than expected, enabling it to contribute to long-term sustainable economic growth."
financial-stability-report-december-2025.pdf,94,"The Bank Capital Stress Test scenario includes a severe global aggregate supply shock, leading to a deep recession across countries and a rise in inflation across advanced economies, with central banks raising interest rates to bring inflation back to target."
financial-stability-report-december-2025.pdf,95,"In the stress test, the aggregate Common Equity Tier 1 (CET1) capital ratio starts at 14.5% and falls to a low point of 11.0% in the first year."
financial-stability-report-december-2025.pdf,96,No individual bank was required to strengthen its capital position as a result of the test.
financial-stability-report-december-2025.pdf,97,"At the low point of the stress test, bank capital remains well above the sum of aggregate regulatory minima and systemic buffers."
financial-stability-report-december-2025.pdf,98,Most of this headroom arises from banks beginning the test with capital in excess of regulatory requirements.
financial-stability-report-december-2025.pdf,99,The FPC and PRA do not oblige firms to maintain buffers in excess of regulatory requirements.
financial-stability-report-december-2025.pdf,100,The FPC has maintained the UK CCyB rate at its neutral rate of 2%.
financial-stability-report-december-2025.pdf,101,"While the global risk environment remains elevated, UK household and corporate aggregate indebtedness remains low."
financial-stability-report-december-2025.pdf,102,"The easing of credit conditions since the FPC’s October meeting has been in line with the macroeconomic outlook, with some additional easing in the mortgage market related to policy developments (clarification of FCA MCOB rules and changes in the FPC’s Recommendation on how to implement the LTI flow limit)."
financial-stability-report-december-2025.pdf,103,"As part of ensuring the UK banking sector is both resilient and able to support growth, the FPC has updated its assessment of the appropriate benchmark level of capital requirements for the UK banking system."
financial-stability-report-december-2025.pdf,104,For further details refer to Section 4 and 5 of the FSR.
financial-stability-report-december-2025.pdf,105,"The FPC’s assessment of bank capital requirements The Committee judges that the updated appropriate benchmark for the system-wide level of Tier 1 capital requirements is now around 13% of RWAs (equivalent to a CET1 ratio of around 11%), 1 percentage point lower than its previous benchmark of around 14%."
financial-stability-report-december-2025.pdf,106,"Given the reduction in the FPC’s benchmark, banks should have greater certainty and confidence in using their capital resources to lend to UK households and businesses."
financial-stability-report-december-2025.pdf,107,"That judgement is consistent with the evolution in the financial system since the FPC’s first assessment in 2015, including a fall in banks’ average risk weights, a reduction in the systemic importance of some banks and improvements in risk measurement such as through the forthcoming implementation of Basel 3.1."
financial-stability-report-december-2025.pdf,108,The judgement is also consistent with the analysis of the range of capital requirements likely to maximise macroeconomic net benefits in terms of long-term growth.
financial-stability-report-december-2025.pdf,109,That analysis also suggested that materially lower capital requirements could lead to significant reductions in long-run expected GDP.
financial-stability-report-december-2025.pdf,110,"The FPC has also considered how the capital framework can be made more effective, efficient and proportionate."
financial-stability-report-december-2025.pdf,111,"As a result: With the PRA and international authorities, the FPC will work to enhance the usability of regulatory buffers and so reduce banks’ incentives to have capital in excess of regulatory requirements."
financial-stability-report-december-2025.pdf,112,"The FPC will review the implementation of the leverage ratio in the UK, to ensure that it functions as intended."
financial-stability-report-december-2025.pdf,113,"Within this, the Committee intends to prioritise reviewing the UK’s approach to regulatory buffers in leverage ratio requirements."
financial-stability-report-december-2025.pdf,114,"The FPC supports initiatives by the Bank to respond to feedback on interactions, proportionality and complexity in the capital framework."
financial-stability-report-december-2025.pdf,115,That includes considering how capital requirements related to domestic exposures interact.
financial-stability-report-december-2025.pdf,116,It also includes: developing a systematic approach for updating regulatory thresholds; contributing to HM Government’s review of ring-fencing; and responding to feedback received on the PRA’s discussion paper on internal ratings-based models for mortgage lending.
financial-stability-report-december-2025.pdf,117,This assessment is published alongside the FSR (refer to Financial Stability in Focus: The FPC’s assessment of bank capital requirements for further details).
financial-stability-report-december-2025.pdf,118,The resilience of market-based finance Downside risks to the economic outlook and a potential broader market correction could interact with vulnerabilities in MBF.
financial-stability-report-december-2025.pdf,119,"The interconnected nature of MBF means it can amplify shocks, including through large leveraged hedge fund positions in sovereign debt markets."
financial-stability-report-december-2025.pdf,120,"Leveraged borrowing by hedge funds in gilt repo markets remains elevated, reaching close to £100 billion in November."
financial-stability-report-december-2025.pdf,121,"Data suggests this activity is related, at least in part, to the popularity of the cash-futures basis trade."
financial-stability-report-december-2025.pdf,122,"A small number of hedge funds account for more than 90% of net gilt repo borrowing, with trades often transacted at zero or near-zero collateral haircuts and at very short maturities and so require regular refinancing."
financial-stability-report-december-2025.pdf,123,"These vulnerabilities, in the context of compressed risk premia in a highly uncertain global environment, increase the risk of sharp moves."
financial-stability-report-december-2025.pdf,124,Funds could need to deleverage simultaneously in response to a shock if funding conditions tightened to the extent that refinancing became unavailable or prohibitively expensive.
financial-stability-report-december-2025.pdf,125,"This reinforces the need for market participants to ensure the risk management of their positions takes account of potential shocks, including correlation shifts outside historical norms."
financial-stability-report-december-2025.pdf,126,"In September, the Bank, in close consultation with the FCA, and with input from HM Treasury and the UK Debt Management Office (DMO), published a discussion paper evaluating the effectiveness and impact of a range of potential reforms to enhance the resilience of the gilt repo market; such as, greater central clearing of gilt repo and minimum margin requirements on non- centrally cleared gilt repo transactions."
financial-stability-report-december-2025.pdf,127,"Any structural reforms identified through this work will take time to implement, which underscores the importance of market participants ensuring their own preparedness for shocks."
financial-stability-report-december-2025.pdf,128,Private markets have grown significantly in the UK over the past two decades and are an important source of funding for corporates.
financial-stability-report-december-2025.pdf,129,"UK insurers’ exposures to private markets have been growing, including through increasing use of funded reinsurance contracts."
financial-stability-report-december-2025.pdf,130,"While resilient to date, private markets have not been tested through a broad-based macroeconomic stress at their current size."
financial-stability-report-december-2025.pdf,131,The Bank will undertake a SWES focused on risks from the private markets ecosystem.
financial-stability-report-december-2025.pdf,132,Two recent high-profile US corporate defaults demonstrated the risks associated with reliance on Credit Rating Agencies (CRAs) – the ratings associated with both corporates remained relatively stable until close to their defaults.
financial-stability-report-december-2025.pdf,133,"Relatedly, there is some evidence (IMF October GFSR) of the expansion in recent years of smaller CRAs producing private ratings, including in the US insurance market."
financial-stability-report-december-2025.pdf,134,Competitive pressures could provide incentives for some CRAs to provide ratings that are designed to win custom.
financial-stability-report-december-2025.pdf,135,This underscores the risks of firms over-relying on credit ratings providers as a substitute to carrying out appropriate due diligence.
financial-stability-report-december-2025.pdf,136,For further details refer to Section 6 of the FSR.
financial-stability-report-december-2025.pdf,137,Structural changes in the UK financial system Heightened geopolitical tensions and continued advances in technology have underlined the critical importance of operational resilience to the provision of vital services to households and businesses.
financial-stability-report-december-2025.pdf,138,"The FPC supports further actions to be taken by firms and financial market infrastructures (FMIs) to build resilience to operational disruption, and by microprudential regulators to continue to strengthen the regulatory framework."
financial-stability-report-december-2025.pdf,139,"In taking steps to build resilience, firms and FMIs should recognise the role they play in supporting confidence in the financial system, and how disruption to vital services could negatively affect saving, investment and economic growth."
financial-stability-report-december-2025.pdf,140,"The FPC met jointly with the Prudential Regulation Committee, the Financial Market Infrastructure Committee and the FCA to discuss the UK’s approach to enhancing the operational resilience of the UK financial system given the heightened threat landscape and increasing pace of technological change."
financial-stability-report-december-2025.pdf,141,They agreed about the importance of continued co-ordination on these issues.
financial-stability-report-december-2025.pdf,142,Boards of firms and FMIs should also work with authorities to use the findings of sector- wide exercises and stress tests such as SIMEX and the Cyber and Operational Resilience Stress Test to improve their understanding of actions they can take to mitigate impacts on financial stability.
financial-stability-report-december-2025.pdf,143,"Given the interconnected nature of the global financial system, the FPC supports further international engagement on operational resilience."
financial-stability-report-december-2025.pdf,144,"The development of new financial products, such as stablecoins, and other distributed ledger technology (DLT) present both opportunities and risks to the UK financial system."
financial-stability-report-december-2025.pdf,145,The FPC recognises the transformative potential of technology associated with stablecoins and the importance of ensuring that the public can have the same trust in new forms of money as they do in existing ones.
financial-stability-report-december-2025.pdf,146,"Use of regulated stablecoins could lead to faster, cheaper retail and wholesale payments, with greater functionality, both at home and across borders."
financial-stability-report-december-2025.pdf,147,"The FPC also notes the potential for growth in the provision of funding directly from financial markets and non-bank financial institutions to support the supply of credit to UK households and businesses, even if deposits move from the banking system to stablecoins."
financial-stability-report-december-2025.pdf,148,"In the UK, the Bank and FCA are developing regimes for systemic and non-systemic stablecoins to ensure appropriate resilience."
financial-stability-report-december-2025.pdf,149,"Other jurisdictions, including the US, are also in the process of designing and finalising their regimes."
financial-stability-report-december-2025.pdf,150,"The FPC welcomes work by the Bank to propose a regulatory regime for sterling- denominated systemic stablecoins, and the consultation paper published recently on this topic."
financial-stability-report-december-2025.pdf,151,The FPC is continuing to monitor developments in the unbacked crypto-asset sector and its interconnectedness with the financial sector and the real economy.
financial-stability-report-december-2025.pdf,152,"Climate-related risks to financial stability are becoming more proximate, resulting in risks to asset prices and credit quality in severe but plausible scenarios."
financial-stability-report-december-2025.pdf,153,"If investors reprice financial assets rapidly to reflect climate-related risks, Bank staff estimate that the resulting moves in asset prices could be comparable to those moves seen in recent market stress episodes."
financial-stability-report-december-2025.pdf,154,"As physical risks from climate change continue to increase over the longer term, lower insurance coverage could transfer risks to households, businesses, banks and governments."
financial-stability-report-december-2025.pdf,155,Supporting insurability through investments in resilience to physical risks from climate change would be beneficial to UK financial stability.
financial-stability-report-december-2025.pdf,156,For further details refer to Section 7 of the FSR. 1: In focus – The FPC and sustainable growth Maintaining financial stability is essential to supporting sustainable economic growth over the long term.
financial-stability-report-december-2025.pdf,157,"In line with its remit, the FPC seeks to maintain financial stability by identifying, monitoring, and addressing systemic risks to the financial sector – including those set out in this Report – so that the financial system can support the UK economy in both good times and bad."
financial-stability-report-december-2025.pdf,158,"In working to advance its primary objective, the FPC continues to take steps to ensure that its resilience-building measures are implemented efficiently and in a way that supports sustainable growth as the financial system evolves."
financial-stability-report-december-2025.pdf,159,"In response to the Chancellor’s request in the FPC’s November 2024 remit letter, the FPC has assessed and identified areas where the financial sector could contribute further to supporting sustainable growth through higher productivity growth, investment and innovation (Box A)."
financial-stability-report-december-2025.pdf,160,"This In focus section sets out how the FPC thinks about sustainable economic growth (Figure 1.1), building on the contents of the July 2025 Financial Stability Report."
financial-stability-report-december-2025.pdf,161,Figure 1.1: The FPC is taking action to contribute to sustainable economic growth by: 1.1: The role of the financial sector in contributing to sustainable growth Productivity growth is a key driver of economic growth.
financial-stability-report-december-2025.pdf,162,"Over the past 15 years, UK labour productivity growth has been low by historical standards and relative to some other advanced economies."
financial-stability-report-december-2025.pdf,163,"In the long term, GDP growth is driven by changes to an economy’s supply capacity, which is determined by the amount of labour and capital available, and the efficiency with which these factors can be combined – known as total factor productivity."
financial-stability-report-december-2025.pdf,164,Labour productivity – measured as output per hour worked – is the main driver of living standards in the long run.
financial-stability-report-december-2025.pdf,165,"Since 2010, UK labour productivity has been low by historical standards and relative to the US."
financial-stability-report-december-2025.pdf,166,"From 2010–19, it was also low relative to other advanced economies (Chart 1.1)."
financial-stability-report-december-2025.pdf,167,"Chart 1.1: UK productivity growth in recent years has been low by historical standards, and relative to some other advanced economies Average growth in GDP per hour worked, UK, US and G7 excluding US and UK (weighted average) (a) (b) Sources: OECD and Bank calculations."
financial-stability-report-december-2025.pdf,168,"(a) Average year on year growth in GDP per hour worked in 2020 US dollars, chain linked volume (rebased), purchasing power parity (PPP) converted."
financial-stability-report-december-2025.pdf,169,"G7 excluding US and UK is weighted by total GDP in 2020 US dollars, chain linked volume (rebased), PPP converted."
financial-stability-report-december-2025.pdf,170,Weighted average excludes Canada for 1997 due to unavailable 1996 data.
financial-stability-report-december-2025.pdf,171,(b) This chart is not directly comparable to Chart 4.1 of the July 2025 FSR due to an update to the underlying OECD database.
financial-stability-report-december-2025.pdf,172,"In the 1990s, total factor productivity growth in most western economies was high, driven by the diffusion of information and communications technologies such as the internet, which have the characteristics of a General-Purpose Technology (GPT)."
financial-stability-report-december-2025.pdf,173,"Past GPTs have been shown to boost productivity for long periods of time, as discussed in a recent speech by Andrew Bailey.[1] Evidence shows that productivity growth slowed in the US in the mid-2000s, as it did in other countries including the UK.[2]"
financial-stability-report-december-2025.pdf,174,"And Adler et al (2017) find that population ageing, slowing human capital accumulation, and lower global trade all contributed to this slowdown."
financial-stability-report-december-2025.pdf,175,"As set out in the July 2025 Financial Stability Report, the global financial crisis (GFC) of 2008– 09 negatively impacted the provision of vital services including bank lending (Box B), weighing on output and productivity growth."
financial-stability-report-december-2025.pdf,176,"Additional shocks, including the UK’s decision to leave the European Union, the Covid pandemic, and the significant rise in energy prices in 2022 following Russia’s invasion of Ukraine, have compounded these effects although recent data suggest that the productivity effects of the pandemic have dissipated and there is no longer a significant drag due to the energy price shock."
financial-stability-report-december-2025.pdf,177,"Other G7 countries have seen a similar slowdown in recent years, except the US where productivity growth has picked up since 2020 (Chart 1.1)."
financial-stability-report-december-2025.pdf,178,US productivity growth has increased since the pandemic.
financial-stability-report-december-2025.pdf,179,"There might be a range of reasons for that, but Bank analysis suggests it may partly reflect reallocation of activity and labour towards more productive sectors, and the strength of the US technology sector."
financial-stability-report-december-2025.pdf,180,"The financial sector plays a role in contributing to productivity growth by providing vital services to UK households and businesses, including the provision of financing for investment in capital and technology."
financial-stability-report-december-2025.pdf,181,"But there are a broader range of factors across the economy at play in driving productivity growth, such as trade conditions, scientific and technological innovation, and human capital."
financial-stability-report-december-2025.pdf,182,"Productivity growth can be accounted for by the level of capital deepening (capital stock per hour worked), and total factor productivity, ie the efficiency with which labour and capital can be combined."
financial-stability-report-december-2025.pdf,183,"These challenges are best addressed by government and businesses, as set out in HM Government’s economic growth, industrial and infrastructure strategies, which emphasise the importance to economic growth of public-private partnerships, government investment and other policies such as planning reform."
financial-stability-report-december-2025.pdf,184,"While the UK has a large and sophisticated financial sector, the UK’s level of investment in capital formation as a proportion of GDP is low relative to other G7 nations and has remained among the lowest for many years (Chart 1.2)."
financial-stability-report-december-2025.pdf,185,"This could be driven by both demand for finance from businesses looking to invest in capital, as well as the supply of finance to those businesses."
financial-stability-report-december-2025.pdf,186,"Chart 1.2: Investment in the capital stock is low in the UK relative to other advanced economies and has been for many years Gross fixed capital formation as a percentage of GDP, UK and G7 range, 1997–2024 (a) Sources: OECD and Bank calculations."
financial-stability-report-december-2025.pdf,187,(a) Gross fixed capital formation includes investment by businesses as well as public sector and dwellings investment.
financial-stability-report-december-2025.pdf,188,"Factors other than financial regulation have been the primary driver of low investment, and so low productivity."
financial-stability-report-december-2025.pdf,189,The volume of lending to the UK real economy has been stable as a share of GDP over the long run (Box B).
